CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-87.5     267.5     63.23
-87.5     268.5     63.23
-87.5     269.5     63.23
-87.5     270.5     63.23
-87.5     271.5     63.23
-87.5     272.5     63.23
-87.5     273.5     63.23
-87.5     274.5     63.23
-87.5     275.5     63.23
-87.5     276.5     63.23
-87.5     277.5     63.23
-87.5     278.5     63.23
-87.5     279.5     63.23
-87.5     280.5     63.23
-87.5     281.5     63.23
-87.5     282.5     63.23
-87.5     283.5     63.23
-87.5     284.5     63.23
-87.5     285.5     63.23
-87.5     286.5     63.23
-87.5     287.5     63.23
-87.5     288.5     63.23
-87.5     289.5     63.23
-87.5     290.5     63.23
-87.5     291.5     63.23
-87.5     292.5     63.24
-87.5     293.5     63.24
-87.5     294.5     63.24
-87.5     295.5     63.24
-87.5     296.5     63.24
-87.5     297.5     63.24
-87.5     298.5     63.24
-87.5     299.5     63.24
-87.5     300.5     63.26
-87.5     301.5     63.26
-87.5     302.5     63.26
-87.5     303.5     63.26
-87.5     304.5     63.26
-87.5     305.5     63.26
-87.5     306.5     63.26
-87.5     307.5     63.26
-87.5     308.5     63.28
-87.5     309.5     63.28
-87.5     310.5     63.28
-87.5     311.5     63.28
-87.5     312.5     63.28
-87.5     313.5     63.28
