CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     162.5     10.3
-88.5     163.5     10.3
-88.5     164.5     10.32
-88.5     165.5     10.32
-88.5     166.5     10.32
-88.5     167.5     10.32
-88.5     168.5     10.32
-88.5     169.5     10.32
-88.5     170.5     10.32
-88.5     171.5     10.32
-88.5     172.5     10.35
-88.5     173.5     10.35
-88.5     174.5     10.35
-88.5     175.5     10.35
-88.5     176.5     10.35
-88.5     177.5     10.35
-88.5     178.5     10.35
-88.5     179.5     10.35
-88.5     180.5     10.38
-88.5     181.5     10.38
-88.5     182.5     10.38
-88.5     183.5     10.38
-88.5     184.5     10.38
-88.5     185.5     10.38
-88.5     186.5     10.38
-88.5     187.5     10.38
-88.5     188.5     10.4
-88.5     189.5     10.4
-88.5     190.5     10.4
-88.5     191.5     10.4
-88.5     192.5     10.4
-88.5     193.5     10.4
-88.5     194.5     10.4
-88.5     195.5     10.4
-88.5     196.5     10.43
-88.5     197.5     10.43
-88.5     198.5     10.43
-88.5     199.5     10.43
-88.5     200.5     10.43
-88.5     201.5     10.43
-88.5     202.5     10.43
-88.5     203.5     10.43
-88.5     204.5     10.46
-88.5     205.5     10.46
-88.5     206.5     10.46
-88.5     207.5     10.46
-88.5     208.5     10.46
-88.5     209.5     10.46
-88.5     210.5     10.46
-88.5     211.5     10.46
-88.5     212.5     10.48
-88.5     213.5     10.48
-88.5     214.5     10.48
-88.5     215.5     10.48
-88.5     216.5     10.48
-88.5     217.5     10.48
-88.5     218.5     10.48
-88.5     219.5     10.48
-88.5     220.5     10.5
-88.5     221.5     10.5
-88.5     222.5     10.5
-88.5     223.5     10.5
-88.5     224.5     10.5
-88.5     225.5     10.5
-88.5     226.5     10.5
-88.5     227.5     10.5
-88.5     228.5     10.52
-88.5     229.5     10.52
-88.5     230.5     10.52
-88.5     231.5     10.52
-88.5     232.5     10.52
